R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Song Kenan;Hector Aldana;Song Kenan;KO/TKO;0.5
Ovince Saint Preux;Tyson Pedro;Ovince Saint Preux;Submission;0.5
Li Jingliang;Daichi Abe;Li Jingliang;Decision - Unanimous;1.0
Teruto Ishihara;Petr Yan;Petr Yan;KO/TKO;0.5
Donald Cerrone;Leon Edwards;Leon Edwards;Decision - Unanimous;1.0
Jessica-Rose Clark;Jessica Eye;Jessica Eye;Decision - Unanimous;1.0
Felipe Arantes;Song Yadong;Song Yadong;KO/TKO;0.5
Rolando Dy;Shane Young;Shane Young;KO/TKO;0.5
Shinsho Anzai;Jake Matthews;Jake Matthews;Submission;0.5
Viviane Pereira;Yan Xiaonan;Yan Xiaonan;Decision - Unanimous;1.0
Jenel Lausa;Yuta Sasaki;Yuta Sasaki;Submission;0.5
Matt Schnell;Naoki Inoue;Matt Schnell;Decision - Split;1.0
Ji Yeon Kim;Melinda Fabian;Ji Yeon Kim;Decision - Split;1.0
Claudia Gadelha;Carla Esparza;Claudia Gadelha;Decision - Split;1.0
Andrei Arlovski;Tai Tuivasa;Tai Tuivasa;Decision - Unanimous;1.0
Ricardo Lamas;Mirsad Bektic;Mirsad Bektic;Decision - Split;1.0
Rafael Dos Anjos;Colby Covington;Colby Covington;Decision - Unanimous;1.0
Alistair Overeem;Curtis Blaydes;Curtis Blaydes;KO/TKO;0.5
Robert Whittaker;Yoel Romero;Robert Whittaker;Decision - Split;1.0
CM Punk;Mike Jackson;;Overturned;2.0
Holly Holm;Megan Anderson;Holly Holm;Decision - Unanimous;1.0
Rashad Coulter;Chris de la Rocha;Chris de la Rocha;KO/TKO;0.5
Rashad Evans;Anthony Smith;Anthony Smith;KO/TKO;0.5
Mike Santiago;Dan Ige;Dan Ige;KO/TKO;0.5
Clay Guida;Charles Oliveira;Charles Oliveira;Submission;0.5
Joseph Benavidez;Sergio Pettis;Sergio Pettis;Decision - Split;1.0
Jake Ellenberger;Ben Saunders;Ben Saunders;KO/TKO;0.5
Jimmie Rivera;Marlon Moraes;Marlon Moraes;KO/TKO;0.5
Nik Lentz;David Teymur;David Teymur;Decision - Unanimous;1.0
Sijara Eubanks;Lauren Murphy;Sijara Eubanks;Decision - Unanimous;1.0
Gian Villante;Sam Alvey;Sam Alvey;Decision - Split;1.0
Walt Harris;Daniel Spitz;Walt Harris;KO/TKO;0.5
Julio Arce;Daniel Teymur;Julio Arce;Submission;0.5
Gregor Gillespie;Vinc Pichel;Gregor Gillespie;Submission;0.5
Jarred Brooks;Jose Torres;Jose Torres;KO/TKO;0.5
Desmond Green;Gleison Tibau;Desmond Green;Decision - Unanimous;1.0
Belal Muhammad;Chance Rencountre;Belal Muhammad;Decision - Unanimous;1.0
Johnny Eduardo;Nathaniel Wood;Nathaniel Wood;Submission;0.5
Neil Magny;Craig White;Neil Magny;KO/TKO;0.5
Jason Knight;Makwan Amirkhani;Makwan Amirkhani;Decision - Split;1.0
Lina Lansberg;Gina Mazany;Lina Lansberg;Decision - Unanimous;1.0
Eric Spicely;Darren Stewart;Darren Stewart;KO/TKO;0.5
Stephen Thompson;Darren Till;Darren Till;Decision - Unanimous;1.0
Arnold Allen;Mads Burnell;Arnold Allen;Submission;0.5
Claudio Silva;Nordine Taleb;Claudio Silva;Submission;0.5
Daniel Kelly;Tom Breese;Tom Breese;KO/TKO;0.5
Brad Scott;Carlo Pedersoli Jr.;Carlo Pedersoli Jr.;Decision - Split;1.0
Gillian Robertson;Molly McCann;Gillian Robertson;Submission;0.5
Elias Theodorou;Trevor Smith;Elias Theodorou;Decision - Unanimous;1.0
Jared Cannonier;Dominick Reyes;Dominick Reyes;KO/TKO;0.5
Alexa Grasso;Tatiana Suarez;Tatiana Suarez;Submission;0.5
Diego Rivas;Guido Cannetti;Guido Cannetti;Decision - Unanimous;1.0
Zak Cummings;Michel Prazeres;Michel Prazeres;Decision - Split;1.0
Veronica Macedo;Andrea Lee;Andrea Lee;Decision - Unanimous;1.0
Demian Maia;Kamaru Usman;Kamaru Usman;Decision - Unanimous;1.0
Vicente Luque;Chad Laprise;Vicente Luque;KO/TKO;0.5
Brandon Moreno;Alexandre Pantoja;Alexandre Pantoja;Decision - Unanimous;1.0
Poliana Botelho;Syuri Kondo;Poliana Botelho;KO/TKO;0.5
Gabriel Benitez;Humberto Bandenay;Gabriel Benitez;KO/TKO;0.5
Enrique Barzola;Brandon Davis;Enrique Barzola;Decision - Unanimous;1.0
Claudio Puelles;Felipe Silva;Claudio Puelles;Submission;0.5
Henry Briones;Frankie Saenz;Frankie Saenz;Decision - Unanimous;1.0
Davi Ramos;Nick Hein;Davi Ramos;Submission;0.5
Jacare Souza;Kelvin Gastelum;Kelvin Gastelum;Decision - Split;1.0
Amanda Nunes;Raquel Pennington;Amanda Nunes;KO/TKO;0.5
Cezar Ferreira;Karl Roberson;Cezar Ferreira;Submission;0.5
Mackenzie Dern;Amanda Cooper;Mackenzie Dern;Submission;0.5
John Lineker;Brian Kelleher;John Lineker;KO/TKO;0.5
Vitor Belfort;Lyoto Machida;Lyoto Machida;KO/TKO;0.5
Aleksei Oleinik;Junior Albini;Aleksei Oleinik;Submission;0.5
Elizeu Zaleski dos Santos;Sean Strickland;Elizeu Zaleski dos Santos;KO/TKO;0.5
Alberto Mina;Ramazan Emeev;Ramazan Emeev;Decision - Unanimous;1.0
Thales Leites;Jack Hermansson;Jack Hermansson;KO/TKO;0.5
Warlley Alves;Sultan Aliev;Warlley Alves;TKO - Doctor's Stoppage;0.5
Markus Perez;James Bochnovic;Markus Perez;Submission;0.5
Merab Dvalishvili;Ricky Simon;Ricky Simon;KO/TKO;0.5
Justin Willis;Chase Sherman;Justin Willis;Decision - Unanimous;1.0
Frankie Edgar;Cub Swanson;Frankie Edgar;Decision - Unanimous;1.0
David Branch;Thiago Santos;David Branch;KO/TKO;0.5
Ryan LaFlare;Alex Garcia;Ryan LaFlare;Decision - Unanimous;1.0
Edson Barboza;Kevin Lee;Kevin Lee;TKO - Doctor's Stoppage;0.5
Jim Miller;Dan Hooker;Dan Hooker;KO/TKO;0.5
Aljamain Sterling;Brett Johns;Aljamain Sterling;Decision - Unanimous;1.0
Siyar Bahadurzada;Luan Chagas;Siyar Bahadurzada;KO/TKO;0.5
Corey Anderson;Patrick Cummins;Corey Anderson;Decision - Unanimous;1.0
Anthony Rocco Martin;Keita Nakamura;Anthony Rocco Martin;Decision - Unanimous;1.0
Michelle Waterson;Cortney Casey;Michelle Waterson;Decision - Split;1.0
Dustin Poirier;Justin Gaethje;Dustin Poirier;KO/TKO;0.5
Wilson Reis;John Moraga;John Moraga;Decision - Unanimous;1.0
Israel Adesanya;Marvin Vettori;Israel Adesanya;Decision - Split;1.0
Krzysztof Jotko;Brad Tavares;Brad Tavares;KO/TKO;0.5
Carlos Condit;Alex Oliveira;Alex Oliveira;Submission;0.5
Muslim Salikhov;Ricky Rainey;Muslim Salikhov;KO/TKO;0.5
Tim Boetsch;Antonio Carlos Junior;Antonio Carlos Junior;Submission;0.5
Gilbert Burns;Dan Moret;Gilbert Burns;KO/TKO;0.5
Shana Dobson;Lauren Mueller;Lauren Mueller;Decision - Unanimous;1.0
Matthew Lopez;Alejandro Perez;Alejandro Perez;KO/TKO;0.5
Dhiego Lima;Yushin Okami;Yushin Okami;Decision - Unanimous;1.0
Luke Sanders;Patrick Williams;Luke Sanders;Decision - Unanimous;1.0
Arjan Bhullar;Adam Wieczorek;Adam Wieczorek;Submission;0.5
Zabit Magomedsharipov;Kyle Bochniak;Zabit Magomedsharipov;Decision - Unanimous;1.0
Karolina Kowalkiewicz;Felice Herrig;Karolina Kowalkiewicz;Decision - Split;1.0
Renato Moicano;Calvin Kattar;Renato Moicano;Decision - Unanimous;1.0
Joe Lauzon;Chris Gruetzemacher;Chris Gruetzemacher;KO/TKO;0.5
Rose Namajunas;Joanna Jedrzejczyk;Rose Namajunas;Decision - Unanimous;1.0
Khabib Nurmagomedov;Al Iaquinta;Khabib Nurmagomedov;Decision - Unanimous;1.0
Bec Rawlings;Ashlee Evans-Smith;Ashlee Evans-Smith;Decision - Unanimous;1.0
Evan Dunham;Olivier Aubin-Mercier;Olivier Aubin-Mercier;KO/TKO;0.5
Devin Clark;Mike Rodriguez;Devin Clark;Decision - Unanimous;1.0
Danny Roberts;Oliver Enkamp;Danny Roberts;KO/TKO;0.5
John Phillips;Charles Byrd;Charles Byrd;Submission;0.5
Tom Duquesnoy;Terrion Ware;Tom Duquesnoy;Decision - Unanimous;1.0
Paul Craig;Magomed Ankalaev;Paul Craig;Submission;0.5
Leon Edwards;Peter Sobotta;Leon Edwards;KO/TKO;0.5
Jimi Manuwa;Jan Blachowicz;Jan Blachowicz;Decision - Unanimous;1.0
Fabricio Werdum;Alexander Volkov;Alexander Volkov;KO/TKO;0.5
Danny Henry;Hakeem Dawodu;Danny Henry;Submission;0.5
Stevie Ray;Kajan Johnson;Kajan Johnson;Decision - Split;1.0
Mark Godbeer;Dmitry Sosnovskiy;Dmitry Sosnovskiy;Submission;0.5
Stefan Struve;Andrei Arlovski;Andrei Arlovski;Decision - Unanimous;1.0
Ashley Yoder;Mackenzie Dern;Mackenzie Dern;Decision - Split;1.0
Frankie Edgar;Brian Ortega;Brian Ortega;KO/TKO;0.5
Cristiane Justino;Yana Kunitskaya;Cristiane Justino;KO/TKO;0.5
Beneil Dariush;Alexander Hernandez;Alexander Hernandez;KO/TKO;0.5
Cat Zingano;Ketlen Vieira;Ketlen Vieira;Decision - Split;1.0
John Dodson;Pedro Munhoz;John Dodson;Decision - Split;1.0
Sean O'Malley;Andre Soukhamthath;Sean O'Malley;Decision - Unanimous;1.0
Mike Pyle;Zak Ottow;Zak Ottow;KO/TKO;0.5
CB Dollaway;Hector Lombard;CB Dollaway;DQ;2.0
Bryan Caraway;Cody Stamann;Cody Stamann;Decision - Split;1.0
Jordan Johnson;Adam Milstead;Jordan Johnson;Decision - Split;1.0
Jessica Andrade;Tecia Torres;Jessica Andrade;Decision - Unanimous;1.0
Josh Emmett;Jeremy Stephens;Jeremy Stephens;KO/TKO;0.5
Renan Barao;Brian Kelleher;Brian Kelleher;Decision - Unanimous;1.0
Sara McMann;Marion Reneau;Marion Reneau;Submission;0.5
Ovince Saint Preux;Ilir Latifi;Ilir Latifi;Submission;0.5
Mike Perry;Max Griffin;Max Griffin;Decision - Unanimous;1.0
Ben Saunders;Alan Jouban;Alan Jouban;KO/TKO;0.5
Maryna Moroz;Angela Hill;Angela Hill;Decision - Unanimous;1.0
Albert Morales;Manny Bermudez;Manny Bermudez;Submission;0.5
Sam Alvey;Marcin Prachnio;Sam Alvey;KO/TKO;0.5
Rani Yahya;Russell Doane;Rani Yahya;Submission;0.5
Eric Shelton;Alex Perez;Alex Perez;Decision - Unanimous;1.0
Geoff Neal;Brian Camozzi;Geoff Neal;Submission;0.5
Steven Peterson;Brandon Davis;Brandon Davis;Decision - Unanimous;1.0
Derrick Lewis;Marcin Tybura;Derrick Lewis;KO/TKO;0.5
Thiago Alves;Curtis Millender;Curtis Millender;KO/TKO;0.5
Jared Gordon;Diego Ferreira;Diego Ferreira;KO/TKO;0.5
Sage Northcutt;Thibault Gouti;Sage Northcutt;Decision - Unanimous;1.0
James Vick;Francisco Trinaldo;James Vick;Decision - Unanimous;1.0
Donald Cerrone;Yancy Medeiros;Donald Cerrone;KO/TKO;0.5
Oskar Piechota;Tim Williams;Oskar Piechota;KO/TKO;0.5
Robert Sanchez;Joby Sanchez;Robert Sanchez;Submission;0.5
Joshua Burkman;Alex Morono;Alex Morono;Submission;0.5
Sarah Moras;Lucie Pudilova;Lucie Pudilova;Decision - Unanimous;1.0
Alexander Volkanovski;Jeremy Kennedy;Alexander Volkanovski;KO/TKO;0.5
Rob Wilkinson;Israel Adesanya;Israel Adesanya;KO/TKO;0.5
Mark Hunt;Curtis Blaydes;Curtis Blaydes;Decision - Unanimous;1.0
Tyson Pedro;Saparbeg Safarov;Tyson Pedro;Submission;0.5
Damien Brown;Dong Hyun Ma;Dong Hyun Ma;Decision - Split;1.0
Tai Tuivasa;Cyril Asker;Tai Tuivasa;KO/TKO;0.5
Yoel Romero;Luke Rockhold;Yoel Romero;KO/TKO;0.5
Jake Matthews;Li Jingliang;Jake Matthews;Decision - Unanimous;1.0
Luke Jumeau;Daichi Abe;Luke Jumeau;Decision - Unanimous;1.0
Ross Pearson;Mizuto Hirota;Ross Pearson;Decision - Unanimous;1.0
Teruto Ishihara;Jose Quinonez;Jose Quinonez;Decision - Unanimous;1.0
Jussier Formiga;Ben Nguyen;Jussier Formiga;Submission;0.5
Timothy Johnson;Marcelo Golm;Timothy Johnson;Decision - Unanimous;1.0
Michel Prazeres;Desmond Green;Michel Prazeres;Decision - Unanimous;1.0
Thiago Santos;Anthony Smith;Thiago Santos;KO/TKO;0.5
Valentina Shevchenko;Priscila Cachoeira;Valentina Shevchenko;Submission;0.5
Sergio Moraes;Tim Means;Sergio Moraes;Decision - Split;1.0
Douglas Silva de Andrade;Marlon Vera;Douglas Silva de Andrade;Decision - Unanimous;1.0
Alan Patrick;Damir Hadzovic;Alan Patrick;Decision - Unanimous;1.0
Lyoto Machida;Eryk Anders;Lyoto Machida;Decision - Split;1.0
Maia Stevenson;Polyana Viana;Polyana Viana;Submission;0.5
Iuri Alcantara;Joe Soto;Iuri Alcantara;KO/TKO;0.5
Deiveson Figueiredo;Joseph Morales;Deiveson Figueiredo;KO/TKO;0.5
Jordan Rinaldi;Gregor Gillespie;Gregor Gillespie;KO/TKO;0.5
Jacare Souza;Derek Brunson;Jacare Souza;KO/TKO;0.5
Mirsad Bektic;Godofredo Pepey;Mirsad Bektic;KO/TKO;0.5
Dennis Bermudez;Andre Fili;Andre Fili;Decision - Split;1.0
Katlyn Chookagian;Mara Romero Borella;Katlyn Chookagian;Decision - Unanimous;1.0
Drew Dober;Frank Camacho;Drew Dober;Decision - Unanimous;1.0
Randa Markos;Juliana Lima;Randa Markos;Decision - Unanimous;1.0
Erik Koch;Bobby Green;Bobby Green;Decision - Unanimous;1.0
Niko Price;George Sullivan;Niko Price;Submission;0.5
Vinc Pichel;Joaquim Silva;Vinc Pichel;Decision - Unanimous;1.0
Justine Kish;Ji Yeon Kim;Ji Yeon Kim;Decision - Split;1.0
Austin Arnett;Cory Sandhagen;Cory Sandhagen;KO/TKO;0.5
Gian Villante;Francimar Barroso;Gian Villante;Decision - Split;1.0
Calvin Kattar;Shane Burgos;Calvin Kattar;KO/TKO;0.5
Stipe Miocic;Francis Ngannou;Stipe Miocic;Decision - Unanimous;1.0
Dustin Ortiz;Alexandre Pantoja;Dustin Ortiz;Decision - Unanimous;1.0
Daniel Cormier;Volkan Oezdemir;Daniel Cormier;KO/TKO;0.5
Thomas Almeida;Rob Font;Rob Font;KO/TKO;0.5
Kyle Bochniak;Brandon Davis;Kyle Bochniak;Decision - Unanimous;1.0
Sabah Homasi;Abdul Razak Alhassan;Abdul Razak Alhassan;KO/TKO;0.5
Matt Bessette;Enrique Barzola;Enrique Barzola;Decision - Unanimous;1.0
Dan Ige;Julio Arce;Julio Arce;Decision - Unanimous;1.0
Islam Makhachev;Gleison Tibau;Islam Makhachev;KO/TKO;0.5
Matt Frevola;Marco Polo Reyes;Marco Polo Reyes;KO/TKO;0.5
Kyung Ho Kang;Guido Cannetti;Kyung Ho Kang;Submission;0.5
James Krause;Alex White;James Krause;Decision - Unanimous;1.0
Darren Elkins;Michael Johnson;Darren Elkins;Submission;0.5
Kamaru Usman;Emil Meek;Kamaru Usman;Decision - Unanimous;1.0
Jeremy Stephens;Dooho Choi;Jeremy Stephens;KO/TKO;0.5
Paige VanZant;Jessica-Rose Clark;Jessica-Rose Clark;Decision - Unanimous;1.0
Talita Bernardo;Irene Aldana;Irene Aldana;Decision - Unanimous;1.0
Mads Burnell;Mike Santiago;Mads Burnell;Decision - Unanimous;1.0
Danielle Taylor;JJ Aldrich;JJ Aldrich;Decision - Unanimous;1.0
Kalindra Faria;Jessica Eye;Jessica Eye;Decision - Split;1.0
Khabib Nurmagomedov;Edson Barboza;Khabib Nurmagomedov;Decision - Unanimous;1.0
Cristiane Justino;Holly Holm;Cristiane Justino;Decision - Unanimous;1.0
Dan Hooker;Marc Diakiese;Dan Hooker;Submission;0.5
Marvin Vettori;Omari Akhmedov;;Decision - Majority;1.0
Cynthia Calvillo;Carla Esparza;Carla Esparza;Decision - Unanimous;1.0
Myles Jury;Rick Glenn;Myles Jury;Decision - Unanimous;1.0
Khalil Rountree Jr.;Michal Oleksiejczuk;;Overturned;2.0
Carlos Condit;Neil Magny;Neil Magny;Decision - Unanimous;1.0
Louis Smolka;Matheus Nicolau;Matheus Nicolau;Decision - Unanimous;1.0
Tim Elliott;Mark De La Rosa;Tim Elliott;Submission;0.5
Julian Marquez;Darren Stewart;Julian Marquez;Submission;0.5
Ricardo Lamas;Josh Emmett;Josh Emmett;KO/TKO;0.5
Glover Teixeira;Misha Cirkunov;Glover Teixeira;KO/TKO;0.5
Chad Laprise;Galore Bofando;Chad Laprise;KO/TKO;0.5
Robbie Lawler;Rafael Dos Anjos;Rafael Dos Anjos;Decision - Unanimous;1.0
Nordine Taleb;Danny Roberts;Nordine Taleb;KO/TKO;0.5
Jared Cannonier;Jan Blachowicz;Jan Blachowicz;Decision - Unanimous;1.0
Santiago Ponzinibbio;Mike Perry;Santiago Ponzinibbio;Decision - Unanimous;1.0
Alessio Di Chirico;Oluwale Bamgbose;Alessio Di Chirico;KO/TKO;0.5
John Makdessi;Abel Trujillo;John Makdessi;Decision - Unanimous;1.0
Jordan Mein;Erick Silva;Jordan Mein;Decision - Unanimous;1.0
Luke Sanders;Andre Soukhamthath;Andre Soukhamthath;KO/TKO;0.5
Eryk Anders;Markus Perez;Eryk Anders;Decision - Unanimous;1.0
Jason Knight;Gabriel Benitez;Gabriel Benitez;Decision - Unanimous;1.0
Albert Morales;Benito Lopez;Benito Lopez;Decision - Unanimous;1.0
Scott Holtzman;Darrell Horcher;Scott Holtzman;Decision - Unanimous;1.0
Marlon Moraes;Aljamain Sterling;Marlon Moraes;KO/TKO;0.5
Cub Swanson;Brian Ortega;Brian Ortega;Submission;0.5
Alexis Davis;Liz Carmouche;Alexis Davis;Decision - Split;1.0
Frankie Saenz;Merab Dvalishvili;Frankie Saenz;Decision - Split;1.0
Chris Gruetzemacher;Davi Ramos;Davi Ramos;Submission;0.5
Alejandro Perez;Iuri Alcantara;Alejandro Perez;Decision - Unanimous;1.0
Carls John De Tomas;Alex Perez;Alex Perez;Submission;0.5
Antonio Braga Neto;Trevin Giles;Trevin Giles;KO/TKO;0.5
Henry Cejudo;Sergio Pettis;Henry Cejudo;Decision - Unanimous;1.0
David Teymur;Drakkar Klose;David Teymur;Decision - Unanimous;1.0
Alistair Overeem;Francis Ngannou;Francis Ngannou;KO/TKO;0.5
Tecia Torres;Michelle Waterson;Tecia Torres;Decision - Unanimous;1.0
Max Holloway;Jose Aldo;Max Holloway;KO/TKO;0.5
Charles Oliveira;Paul Felder;Paul Felder;KO/TKO;0.5
Alex Oliveira;Yancy Medeiros;Yancy Medeiros;KO/TKO;0.5
Eddie Alvarez;Justin Gaethje;Eddie Alvarez;KO/TKO;0.5
Sabah Homasi;Abdul Razak Alhassan;Abdul Razak Alhassan;KO/TKO;0.5
Jeremy Kimball;Dominick Reyes;Dominick Reyes;Submission;0.5
Justin Willis;Allen Crowder;Justin Willis;KO/TKO;0.5
Amanda Cooper;Angela Magana;Amanda Cooper;KO/TKO;0.5
Felice Herrig;Cortney Casey;Felice Herrig;Decision - Split;1.0
Eric Spicely;Gerald Meerschaert;Gerald Meerschaert;KO/TKO;0.5
Barb Honchak;Lauren Murphy;Lauren Murphy;Decision - Split;1.0
Christina Marks;Montana De La Rosa;Montana De La Rosa;Submission;0.5
Andrew Sanchez;Ryan Janes;Ryan Janes;KO/TKO;0.5
DeAnna Bennett;Melinda Fabian;;Decision - Majority;1.0
Nicco Montano;Roxanne Modafferi;Nicco Montano;Decision - Unanimous;1.0
Sean O'Malley;Terrion Ware;Sean O'Malley;Decision - Unanimous;1.0
Joe Soto;Brett Johns;Brett Johns;Submission;0.5
Ariel Beck;Shana Dobson;Shana Dobson;KO/TKO;0.5
Karine Gevorgyan;Rachael Ostovich;Rachael Ostovich;Submission;0.5
Gillian Robertson;Emily Whitmire;Gillian Robertson;Submission;0.5
Muslim Salikhov;Alex Garcia;Alex Garcia;Submission;0.5
Michael Bisping;Kelvin Gastelum;Kelvin Gastelum;KO/TKO;0.5
Song Yadong;Bharat Kandare;Song Yadong;Submission;0.5
Zabit Magomedsharipov;Sheymon Moraes;Zabit Magomedsharipov;Submission;0.5
Kailin Curran;Yan Xiaonan;Yan Xiaonan;Decision - Unanimous;1.0
Song Kenan;Bobby Nash;Song Kenan;KO/TKO;0.5
Li Jingliang;Zak Ottow;Li Jingliang;KO/TKO;0.5
Wang Guan;Alex Caceres;Wang Guan;Decision - Split;1.0
Wu Yanan;Gina Mazany;Gina Mazany;Decision - Unanimous;1.0
Cyril Asker;Hu Yaozong;Cyril Asker;Submission;0.5
Chase Sherman;Shamil Abdurakhimov;Shamil Abdurakhimov;KO/TKO;0.5
Wuliji Buren;Rolando Dy;Rolando Dy;Decision - Unanimous;1.0
Elias Theodorou;Daniel Kelly;Elias Theodorou;Decision - Unanimous;1.0
Bec Rawlings;Jessica-Rose Clark;Jessica-Rose Clark;Decision - Split;1.0
Jake Matthews;Bojan Velickovic;Jake Matthews;Decision - Split;1.0
Tim Means;Belal Muhammad;Belal Muhammad;Decision - Split;1.0
Alexander Volkanovski;Shane Young;Alexander Volkanovski;Decision - Unanimous;1.0
Ryan Benoit;Ashkan Mokhtarian;Ryan Benoit;KO/TKO;0.5
Fabricio Werdum;Marcin Tybura;Fabricio Werdum;Decision - Unanimous;1.0
Nik Lentz;Will Brooks;Nik Lentz;Submission;0.5
Rashad Coulter;Tai Tuivasa;Tai Tuivasa;KO/TKO;0.5
Damien Brown;Frank Camacho;Frank Camacho;Decision - Split;1.0
Jenel Lausa;Eric Shelton;Eric Shelton;Decision - Unanimous;1.0
Anthony Hamilton;Adam Wieczorek;Adam Wieczorek;Decision - Unanimous;1.0
Alex Chambers;Nadia Kassem;Nadia Kassem;Decision - Unanimous;1.0
John Dodson;Marlon Moraes;Marlon Moraes;Decision - Split;1.0
Raphael Assuncao;Matthew Lopez;Raphael Assuncao;KO/TKO;0.5
Nate Marquardt;Cezar Ferreira;Cezar Ferreira;Decision - Split;1.0
Matt Brown;Diego Sanchez;Matt Brown;KO/TKO;0.5
Tatiana Suarez;Viviane Pereira;Tatiana Suarez;Decision - Unanimous;1.0
Dustin Poirier;Anthony Pettis;Dustin Poirier;KO/TKO;0.5
Joe Lauzon;Clay Guida;Clay Guida;KO/TKO;0.5
Junior Albini;Andrei Arlovski;Andrei Arlovski;Decision - Unanimous;1.0
Darren Stewart;Karl Roberson;Karl Roberson;Submission;0.5
Angela Hill;Nina Ansaroff;Nina Ansaroff;Decision - Unanimous;1.0
Sage Northcutt;Michel Quinones;Sage Northcutt;Decision - Unanimous;1.0
Court McGee;Sean Strickland;Sean Strickland;Decision - Unanimous;1.0
Jake Collier;Marcel Fortuna;Jake Collier;Decision - Unanimous;1.0
Joanna Jedrzejczyk;Rose Namajunas;Rose Namajunas;KO/TKO;0.5
Ovince Saint Preux;Corey Anderson;Ovince Saint Preux;KO/TKO;0.5
Walt Harris;Mark Godbeer;Mark Godbeer;DQ;2.0
Johny Hendricks;Paulo Costa;Paulo Costa;KO/TKO;0.5
Cody Garbrandt;TJ Dillashaw;TJ Dillashaw;KO/TKO;0.5
James Vick;Joe Duffy;James Vick;KO/TKO;0.5
Stephen Thompson;Jorge Masvidal;Stephen Thompson;Decision - Unanimous;1.0
Michael Bisping;Georges St-Pierre;Georges St-Pierre;Submission;0.5
Aleksei Oleinik;Curtis Blaydes;Curtis Blaydes;TKO - Doctor's Stoppage;0.5
Randy Brown;Mickey Gall;Randy Brown;Decision - Unanimous;1.0
Aiemann Zahabi;Ricardo Ramos;Ricardo Ramos;KO/TKO;0.5
Thiago Santos;Jack Hermansson;Thiago Santos;KO/TKO;0.5
Francisco Trinaldo;Jim Miller;Francisco Trinaldo;Decision - Unanimous;1.0
Antonio Carlos Junior;Jack Marshman;Antonio Carlos Junior;Submission;0.5
Vicente Luque;Niko Price;Vicente Luque;Submission;0.5
Derek Brunson;Lyoto Machida;Derek Brunson;KO/TKO;0.5
Pedro Munhoz;Rob Font;Pedro Munhoz;Submission;0.5
Demian Maia;Colby Covington;Colby Covington;Decision - Unanimous;1.0
John Lineker;Marlon Vera;John Lineker;Decision - Unanimous;1.0
Hacran Dias;Jared Gordon;Jared Gordon;Decision - Unanimous;1.0
Deiveson Figueiredo;Jarred Brooks;Deiveson Figueiredo;Decision - Split;1.0
Elizeu Zaleski dos Santos;Max Griffin;Elizeu Zaleski dos Santos;Decision - Unanimous;1.0
Marcelo Golm;Christian Colombo;Marcelo Golm;Submission;0.5
Jan Blachowicz;Devin Clark;Jan Blachowicz;Submission;0.5
Artem Lobov;Andre Fili;Andre Fili;Decision - Unanimous;1.0
Karolina Kowalkiewicz;Jodie Esquibel;Karolina Kowalkiewicz;Decision - Unanimous;1.0
Donald Cerrone;Darren Till;Darren Till;KO/TKO;0.5
Sam Alvey;Ramazan Emeev;Ramazan Emeev;Decision - Unanimous;1.0
Oskar Piechota;Jonathan Wilson;Oskar Piechota;Decision - Unanimous;1.0
Damian Stasiak;Brian Kelleher;Brian Kelleher;KO/TKO;0.5
Marcin Held;Nasrat Haqparast;Marcin Held;Decision - Unanimous;1.0
Salim Touahri;Warlley Alves;Warlley Alves;Decision - Unanimous;1.0
Felipe Arantes;Josh Emmett;Josh Emmett;Decision - Unanimous;1.0
Lina Lansberg;Aspen Ladd;Aspen Ladd;KO/TKO;0.5
Mara Romero Borella;Kalindra Faria;Mara Romero Borella;Submission;0.5
Tom Duquesnoy;Cody Stamann;Cody Stamann;Decision - Split;1.0
Fabricio Werdum;Walt Harris;Fabricio Werdum;Submission;0.5
Lando Vannata;Bobby Green;;Decision - Split;1.0
Beneil Dariush;Evan Dunham;;Decision - Majority;1.0
Demetrious Johnson;Ray Borg;Demetrious Johnson;Submission;0.5
Pearl Gonzalez;Poliana Botelho;Poliana Botelho;Decision - Unanimous;1.0
Tony Ferguson;Kevin Lee;Tony Ferguson;Submission;0.5
John Moraga;Bibulatov Magomed;John Moraga;KO/TKO;0.5
Matt Schnell;Marco Beltran;Matt Schnell;Decision - Unanimous;1.0
Thales Leites;Brad Tavares;Brad Tavares;Decision - Unanimous;1.0
Takanori Gomi;Dong Hyun Ma;Dong Hyun Ma;KO/TKO;0.5
Teruto Ishihara;Rolando Dy;Teruto Ishihara;Decision - Unanimous;1.0
Jussier Formiga;Yuta Sasaki;Jussier Formiga;Submission;0.5
Syuri Kondo;Chan-Mi Jeon;Syuri Kondo;Decision - Split;1.0
Claudia Gadelha;Jessica Andrade;Jessica Andrade;Decision - Unanimous;1.0
Keita Nakamura;Alex Morono;Keita Nakamura;Decision - Split;1.0
Gokhan Saki;Henrique da Silva;Gokhan Saki;KO/TKO;0.5
Ovince Saint Preux;Yushin Okami;Ovince Saint Preux;Submission;0.5
Shinsho Anzai;Luke Jumeau;Shinsho Anzai;Decision - Unanimous;1.0
Daichi Abe;Hyun Gyu Lim;Daichi Abe;Decision - Unanimous;1.0
Hector Lombard;Anthony Smith;Anthony Smith;KO/TKO;0.5
Mike Perry;Alex Reyes;Mike Perry;KO/TKO;0.5
Kamaru Usman;Sergio Moraes;Kamaru Usman;KO/TKO;0.5
Gregor Gillespie;Jason Gonzalez;Gregor Gillespie;Submission;0.5
